,name,release_dates,platforms,meta_scores,user_scores,summeries,num_meta_critics,developer,publisher,amount_of_platforms,all_genres
3114,Dead State,"December 4, 2014",PC,70,6.4,"Dead State is a high-tension survival RPG set at the beginning of the zombie apocalypse. As society begins to fall apart, the player must organize a scant handful of allies, working on fortifying a shelter, scouting for food and supplies, making uncertain alliances with others, and attempting to hold together a group as humanity teeters on the brink of extinction. A full-fledged RPG featuring shelter building and management, turn-based tactical combat, and reactive story and dialogue with an emphasis on survival at any cost. Attract new allies, scavenge food and supplies, and protect your shelter at any cost. Do you have what it takes to lead a desperate group through a crisis? This is your chance to find out.",16,DoubleBear Productions,DoubleBear Productions,1,"General,Role-Playing,General"
3115,ARK: Survival Evolved,"August 29, 2017",PC,70,6.5,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape.",18,Studio Wildcard,Studio Wildcard,6,"Action Adventure,Survival,Sandbox"
3116,Sparklite,"November 14, 2019",PC,70,6.4,"Sparklite is an action-adventure set in the whimsical and ever-changing land of Geodia. Battle foes in top-down action using an arsenal of gadgets, guns, and gear. Explore dangerous corners of the procedurally generated world, take down titans of the mining industry, and harness the power of Sparklite.",7,Red Blue Games,Merge Games,4,"Action Adventure,General"
3117,Harold,"February 12, 2015",PC,70,6.0,"Harold is a singleplayer sidescrolling platformer with an emphasis on the high quality, hand-drawn style of classic animated films. You play as Gabe, the guardian angel responsible for guiding Harold through the multiple paths of each map, constantly saving your human charge from imminent death by manipulating obstacles in different environments. To edge out the other runners and prove your angelic abilities you'll need every ounce of cunning and foresight you can muster, because your greatest hindrance is the oafish clumsiness of Harold himself.",17,Moon Spider Studio,Moon Spider Studio,1,"Platformer,2D,Action,Platformer,2D"
3118,Age of Empires Online,"August 16, 2011",PC,70,5.7,"With more than 20 million copies sold worldwide, the “Age of Empires” series redefined real-time strategy games for Windows-based PC players. Now, the timeless franchise once again invites players to experience its rich storyline in new ways. “Age of Empires Online” will invite players to create a living, growing online world, shared with friends and friendly rivals around the globe. Begin the journey with your own Greek civilisation, and watch as it progresses from a village to an empire. Embark on quests along the way, alone or with friends, and immerse yourself in epic tales, quirky characters, adventure, history and strategy. Together with the Games for Windows – LIVE service, “Age of Empires Online” delivers a rich, social experience that lets you play however you want — anywhere, anytime.",44,Gas Powered Games,Microsoft Game Studios,1,"Strategy,Real-Time,Historic,Historic,Command"
3119,Life is Strange 2,"September 27, 2018",PC,70,6.0,The long awaited sequel to the award winning Life is Strange returns with a new 5-part narrative adventure from DONTNOD Entertainment.,11,DONTNOD Entertainment,Square Enix,3,"Action Adventure,General"
3120,Layers of Fear 2,"May 28, 2019",PC,70,6.2,"Layers of Fear 2 is a first-person psychological horror game with an emphasis on exploration and story. Players control a Hollywood actor who heeds the call of an enigmatic director to take on the lead role in a film shot aboard an ocean liner. Beware, for all may not truly be what it seems.",46,Bloober Team,Gun Media,4,"Action Adventure,Survival"
3121,Crossing Souls,"February 13, 2018",PC,70,6.6,It’s 1986 in California. A group of friends discover a mysterious pink stone that allows to travel between two realms. This gang will live the summer of their lives in an adventure that will get them involved in a government conspiracy. Control five kids with specials skills while fighting and solving puzzles.,26,Fourattic,Devolver Digital,3,"Action Adventure,General"
3122,Last Stop,"July 22, 2021",PC,70,6.9,"Last Stop is a single-player third-person narrative adventure game set in present day London, where you play as three separate characters whose worlds collide in the midst of a supernatural crisis. An anthology drama, Last Stop is three stories in one. What connects these three strangers? Where will fate lead them?",29,Variable State,Annapurna Interactive,6,"Adventure,3D,Third-Person"
3123,Nosferatu: The Wrath of Malachi,"October 19, 2003",PC,70,7.5,"Delivering a blend of atmospheric survival horror and intense first person shooter action, Nosferatu: The Wrath of Malachi immerses players in the terror of an ancient, gothic castle full of vampires. With the monstrous undead lurking around every corner, players must search through the shadowy halls and dank dungeons of a massive castle to free their imprisoned friends and family...failure to rescue the prisoners will not only result in their death, but in the resurrection of an ancient supernatural being who will threaten all of mankind. [iGames]",26,Idol FX,iGames,1,"Action,Shooter,Shooter,First-Person,Fantasy,Fantasy,Arcade"
3124,The Sims Online,"December 18, 2002",PC,70,7.7,"The Sims Online is a virtual world built from the imaginations of thousands of players like you -- an unpredictable, alternate reality where you are both spectator and participant. Build a network of friends to enhance your power, wealth, reputation and social standing. Explore neighborhoods, create crazy locations, or host wild events to entertain others. In this massive and never-ending online event you become a Sim, choose your role and find your destiny. [Electronic Arts]",23,Maxis,EA Games,1,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Modern,Modern"
3125,Silent Hill 2,"December 2, 2002",PC,70,8.9,"James Sunderland's life is shattered when his young wife Mary suffers a tragic death. Three years later, a mysterious letter arrives from Mary, beckoning him to return to their sanctuary of memories, the dark realm of Silent Hill. Now James must go back to that special place to uncover the truth, unaware that the answers he seeks require the ultimate sacrifice. Check out the PC exclusive features below! [Konami]",11,Creature Labs,Konami,1,"Action Adventure,Horror,Horror,Survival"
3126,Battle Isle: The Andosia War,"November 29, 2000",PC,70,7.7,"On the border between exciting real-time maneuvers and the demands of strategic planning, a new exciting kind of game experience emerges where there is a time for cool planning, quick reactions, discovery of stunning landscapes, and time for pursuing mission goals!  [Blue Byte]",11,Cauldron Ltd.,Blue Byte,1,"Strategy,Turn-Based,Sci-Fi,Sci-Fi,General,Tactics"
3127,H1Z1,"February 28, 2018",PC,70,4.1,Play the Battle Royale game that started it all. Now includes AUTO ROYALE. Drive into battle as part of a team-based vehicle of mayhem. Fight for power-ups to equip your squad and upgrade your ride.,8,Daybreak Games,Daybreak Games,2,"Third-Person,Arcade,Action,Action Adventure,Shooter,Survival,First-Person,Tactical"
3128,Lead and Gold: Gangs of the Wild West,"April 8, 2010",PC,70,8.2,"Lead and Gold: Gangs of the Wild West is a third person shooter delivering an intense team based multiplayer experience. Relive the violent era of the Wild West as it ought to be with adrenaline fueled action and fast paced gunfights. Fight gritty battles in beautifully rendered classic western settings. Test your mettle in genre specific game modes and levels tailor-made for satisfying team play. Lead and Gold features the unique Synergy system, a power up system encouraging co-operation and team tactics. The Synergy system permeates the frantic shooter gameplay and rewards the player for objective oriented gameplay. [Paradox Interactive]",25,"Fatshark AB, Fatshark",Paradox Interactive,2,"Action,Shooter,Shooter,Third-Person,Modern,Historic,Historic,Arcade"
3129,Sanctum (2011),"April 15, 2011",PC,70,6.7,"Sanctum is a First Person Shooter Tower Defense game where you take the role as Skye, an elite soldier sent out to protect her hometown, Elysion One from hordes of mysterious alien creatures.",22,Coffee Stain Studios,Coffee Stain Studios,1,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
3130,Company of Heroes: Tales of Valor,"April 7, 2009",PC,70,7.1,"Company of Heroes: Tales of Valor is the next standalone chapter in the Company of Heroes franchise, featuring all-new content, including three single-player campaigns, new multiplayer modes, additional maps and units. Company of Heroes: Tales of Valor also introduces a new “direct-fire” feature that allows players more tactical control of their units and more strategic options in-game. Developed by internal studio Relic Entertainment and powered by Relic’s proprietary Essence Engine, Company of Heroes: Tales of Valor is fully compatible with Company of Heroes and Company of Heroes: Opposing Fronts, allowing players who own the entire series complete access to the epic battles of World War. [THQ]",42,"Relic, Relic Entertainment",THQ,2,"Strategy,Real-Time,Military,General,Military"
3131,Romance of the Three Kingdoms XI,"September 9, 2008",PC,70,8.0,"Set during the end of China's Han Dynasty and the 2nd and 3rd centuries A.D., RTK XI presents the most visually captivating evolution in the history of the series. Blurring the line between video games and art, RTK XI features visuals evocative of classical Chinese ink-paintings along with debates and duels rendered in real-time 3D animation. As the ruler of a kingdom, each player has complete control over their territories. More than 40 base commands give players the power to govern cities, manage their personnel, practice diplomacy and much more. Complete freedom to develop markets, shipyards, outposts, forts and military units expand on the already substantial benchmarks established by previous editions of the series. Furthermore, players watch the era come to life through the uniquely individual personalities of the more than 780 officers and supporting characters they encounter. Players need to dig deep within to prove themselves adept at both the military and political arts in order to bring China under one rule. Domestic affairs, diplomacy and warfare are all conducted on a single vast 3D relief map, dramatically bringing to life the eight massive scenarios that lie before them. For improved control over each military campaign, RTK XI's turn-based game play allows the player to plan their movements without undue time constraints, and then execute their battle tactics when ready. RTK XI also introduces an entirely new system for researching military techniques, as well as an Advanced Tactics System that allows players to drive or lure enemies into devastating ambushes. Skilled players link together tactics for maximum damage. [Koei]",11,Koei,Koei,2,"Strategy,Turn-Based,Historic,General,Historic"
3132,I Am Setsuna,"July 19, 2016",PC,70,7.1,"Inspired by Chrono Trigger, I am Setsuna is an homage to the JRPG masterpieces of yesteryear. Journey with Setsuna as she prepares to make the ultimate sacrifice and save the people of her land.",16,Tokyo RPG Factory,Square Enix,3,"Role-Playing,Japanese-Style"
3133,Brigador,"June 2, 2016",PC,70,8.0,"Choose your vehicle, weapons, pilot, and defense. Assault the districts of Solo Nobre, then escape or die trying. Your choice.",12,Stellar Jockeys,Stellar Jockeys,1,"Action,General"
3134,Maquette,"March 2, 2021",PC,70,5.4,"Maquette is a first-person recursive puzzle game that takes you into a world where every building, plant, and object are simultaneously tiny and staggeringly huge.",17,Graceful Decay,Annapurna Interactive,3,"Puzzle,General"
3135,Global Agenda,"February 1, 2010",PC,70,7.8,"Global Agenda is a massively multi-player action game set in 22nd Earth, a 'spy-fi' world of advanced technology and player-driven conflict. In the wake of severe global disaster, the political face of 22nd century earth has changed and player-created factions scheme against each other for power. Traditional full-scale wars a thing of the past, factions must rely on covert agencies, teams of elite special operatives able to seize and defend key facilities. The future of humanity is their battleground, where knowledge is power, technology is a race, and everyone has an agenda. [Hi-Rez Studios]",16,Hi-Rez Studios,Hi-Rez Studios,1,"Role-Playing,Massively Multiplayer Online,Massively Multiplayer,Sci-Fi,Sci-Fi"
3136,Pacer,"October 29, 2020",PC,70,6.0,"Unique Storm Mode for single player and multiplayer: Life or death in a contracting field of play - the first ever Battle Royale arcade racer .
Spectator Mode: Follow any pilot with Chase, Nose, Orbit or Environment cameras while displaying all race stats.
Highly customizable: Craft, weapons and cosmetics.
Replay Mode: For capturing and sharing amazing action clips and stills.
Online Ranked Mode: Find out how your piloting skills rate against the best in the world.
Online Tournament/Spectator Mode: For easy streaming and encouraging fun events at all levels.
Campaign: Unlock team skins, as well as more challenging tracks and speed classes.
Designers Republic partnership: Graphic designs that influenced a generation in games and music.
OST and SFX: Created by Tim Wright aka CoLD SToRAGE.
In-game VOIP, making in-game chat both easy and fun.
Hosted servers: To level the online playing field and minimize the possibility of cheating.",11,R8 Games,R8 Games,3,"Racing,Arcade,Futuristic"
3137,Land of Legends,"September 21, 2005",PC,70,tbd,"Land of Legends is a turn-based fantasy strategy game where eight unique races vie for supremacy using a combination of cold steel and hot magic. Players will have to use their wits and each race's special abilities to bring defeat to the forces of darkness plaguing the lands in the thirty-two mission campaign. The game doesn't end with Evil's defeat though, as a built-in matchmaking service allows infinite replayability by giving players the chance to play against live opponents around the globe. [Shrapnel Games]",7,Tiny Hero Game Studios,Shrapnel Games,1,"Strategy,Turn-Based,Fantasy"
3138,007: Quantum of Solace,"November 4, 2008",PC,70,6.3,"Introducing a more lethal and cunningly efficient Bond, the game blends intense first-person action with a unique third-person cover combat system that allows players to truly feel what it is like to be the ultimate secret agent as they use their stealth, precision shooting and lethal combat skills to progress through missions. Blending the action of the ""Quantum of Solace"" feature film with the ""Casino Royale"" movie, the title propels players into the cinematic experience of international espionage.  Based on the Call of Duty 4: Modern Warfare game engine that has been specifically engineered to immerse players in the Bond universe, the Quantum of Solace game delivers high-definition graphics, reactive AI and visually stunning locations inspired by locales portrayed in the films. Quantum of Solace marks the first time players can become the dangerous and cunning Bond as portrayed by Daniel Craig. From silent take downs and sneaking through confined spaces, to one-on-one shoot outs and large scale battles, players experience a variety of gameplay that challenges them to think through situations and choose how they progress, whether it's through covert means or confronting enemies in full force. Advanced combat and Realistic AI: Players engage in both first-person and third-person gameplay that allows gamers to be Bond in unscripted battles against the world's most evil villains and mercenaries. Filled with armed combat, massive explosions and vertigo-inducing chases, gamers are immersed in an authentic Bond universe and drawn into epic movie moments with theatrical camera angles, split screen effects, picture-in-picture sequences, and amazing environments inspired by real world locations such as Montenegro, Venice, Bolivia and Austria. Bringing James Bond to next-gen consoles for the first time, gamers now have the ability to battle online in a variety of modes. [Activision]",18,"Treyarch, Beenox",Activision,3,"Action,General,Shooter,Shooter,First-Person,Modern,Modern,Arcade"
3139,Dead Rising 3: Apocalypse Edition,"September 5, 2014",PC,70,5.6,"Available exclusively for Xbox One, Dead Rising 3 marks the return of one of the most popular zombie video game franchises. Set 10 years after the events of Fortune City in Dead Rising 2, players are introduced to Nick Ramos, a young mechanic with a strange tattoo and a mysterious past, who must find a way to escape a city full of zombies before an impending military strike wipes the city of Los Perdidos, California, and everyone in it, off the map. Nick cant do it alone - he must join up with other survivors to stay alive. They must fight their way out before its too late.

With an immersive open-world experience, intense action, and unmatched level of weapon and character customization, a new generation of zombie-slaying fun has arrived with Dead Rising 3.",44,Capcom Vancouver,Capcom,2,"Action,Action Adventure,General,Open-World"
3140,Deep Sky Derelicts,"September 26, 2018",PC,70,6.5,"Deep Sky Derelicts is an original combination of turn-based strategy and RPG, enriched with tactical card combat and popular roguelike elements. Explore derelict alien ships, fight, loot and upgrade your gear, all in distinctive retro-futuristic comic book aesthetic style.",14,Snowhound Games,1C Entertainment,4,"Role-Playing,Japanese-Style"
3141,Take On Helicopters,"October 16, 2011",PC,70,6.7,"Built upon over 10 years of experience, Take On Helicopters immerses players within beautifully rich landscapes and an authentic helicopter experience.",10,Bohemia Interactive,Bohemia Interactive,1,"Simulation,Flight,Helicopter,Helicopter,Civilian"
3142,Desert Rats vs. Afrika Korps,"March 31, 2004",PC,70,7.5,"Desert Rats vs Afrika Korps is a real-time 3D tactical strategy game set in the North Africa campaigns of World War II.  Command up to 70 different units on recon, search & destroy and siege operations in the African desert.  Experience 20 engaging missions from the single player Axis & Allied campaigns and fight with up to four friends in multiplayer ? all with beautifully detailed graphics, realistic damage and weather effects. [Encore Software]",29,Digital Reality,"Encore Software, Inc.",1,"Strategy,Real-Time,Historic,General"
3143,StarDrive 2,"April 9, 2015",PC,70,5.4,"The core mechanics of the franchise have evolved to incorporate a turn-based strategic layer, featuring realtime battles.",17,Zero Sum Games,Iceberg Interactive,1,"Sci-Fi,Strategy,Real-Time,General"
3144,Maneater,"May 22, 2020",PC,70,6.5,"You were cut from your mother's body and left to die in the unforgiving waters of the Gulf Coast. Your only tools are your wits, your jaws, and an uncanny ability to evolve as you feed. Anything and everything is on the menu... provided you kill it before it kills you.",44,Tripwire Interactive,Tripwire Interactive,6,"Action Adventure,General"
3145,Papo & Yo,"April 18, 2013",PC,70,7.7,"Papo & Yo takes players on an emotional journey that explores the relationship between a boy and his sometimes-scary best friend. As players progress, Monster reacts differently to their actions based on his current desires. If Monster is in a good mood, he plays with Quico and help with tasks; if Monster is hungry, he seeks out food; if that food happens to be a poisonous frog, he transforms into a terrifying killing machine bent on nothing but destruction. Players will need to learn to use Monster's emotions, both good and bad, to their advantage if they want to complete their search for a cure and save their pal.",23,"Minority, Minority Media Inc.",Minority,2,"Adventure,General,General"
3146,Boyfriend Dungeon,"August 11, 2021",PC,70,5.5,Romance your swords! Capture the hearts of weapons to level them up in this “shack-and-slash” dungeon crawling adventure.,13,Kitfox Games,Kitfox Games,4,"Role-Playing,Action RPG"
3147,Tokyo 42,"May 31, 2017",PC,70,7.0,"Tokyo 42 is the lovechild of Syndicate and GTA 1. Set in a future Tokyo, the game will see you become an assassin and uncover a dark conspiracy that will affect everyone.",24,SMAC Games,Mode 7 Games,3,"General,Action,Shooter,Shoot-'Em-Up,Top-Down"
3148,Aurion: Legacy of the Kori-Odan,"April 14, 2016",PC,70,7.8,"Aurion is an epic action RPG set in a wonderful African Fantasy world with a unique, open and dynamic fighting gameplay.",9,Kiro'o Games,Kiro'o Games,1,"Action,General,Role-Playing,Action RPG"
3149,Batman: Arkham Knight,"June 23, 2015",PC,70,3.9,"Batman confronts the ultimate threat against the city he has been sworn to protect. The Scarecrow returns to congeal an imposing array of super villains, including The Penguin, Two-Face and Harley Quinn, to summarily destroy The Dark Knight. The game introduces Rocksteady's uniquely-designed imagining of the Batmobile drivable for the first time in the franchise. Batman: Arkham Knight offers gamers a complete Batman experience as they rip through the streets and soar across the skyline of the iconic Gotham City.",14,"Rocksteady Studios, Iron Galaxy Studios",Warner Bros. Interactive Entertainment,3,"Action Adventure,General,Fantasy,Open-World"
3150,Darksiders III,"November 27, 2018",PC,70,7.1,"Return to an apocalyptic Earth in Darksiders III, a hack-n-slash Action Adventure where players assume the role of FURY in her quest to hunt down and dispose of the Seven Deadly Sins. The most unpredictable and enigmatic of the Four Horsemen, FURY must succeed where many have failed - to bring balance to the forces that now ravage Earth. Darksiders III is the long-anticipated, third chapter in the critically-acclaimed Darksiders franchise.",43,"Gunfire Games, THQ Nordic",THQ Nordic,5,"Action Adventure,Open-World"
3151,Vampire: The Masquerade - Coteries of New York,"December 11, 2019",PC,70,7.3,"Vampire: The Masquerade - Coteries of New York presents the conflict between two vampiric factions: the traditionalist Camarilla and the fiercely independent Anarchs among the iconic landmarks and night lights of The Big Apple. It's a unique, atmospheric, single-player narrative experience, set in a rich, fully licensed, globally recognized universe of Vampire: The Masquerade 5th Edition.

* Choose your character from one of several distinct Clans
* Every playable character offers unique powers (Disciplines), different ethical approaches to certain issues, and dialogue lines
* Character-oriented quests allow you to create your own coterie and shape your relations by reinforcing NPC loyalties
* Highly replayable - choices made in the game are reflected by the game's changing fiction
* Various endings depending on your actions - which conclusion will you reach?
* Suitable for both Vampire: The Masquerade veterans, and fans of mature narrative-driven games who are newcomers to the setting",28,Draw Distance,Draw Distance,4,"Role-Playing,Adventure,Visual Novel,Western-Style"
3152,Dead Synchronicity: Tomorrow Comes Today,"April 10, 2015",PC,70,7.6,"A dying reality, a universe that is fading into the background. A merciless world that gets sick and vanishes. No past, no present, no future; only the impending moment of “dead synchronicity” ahead. Will you be able to stop it? Because, otherwise... what will you do when Time dissolves itself?",24,Fictiorama Studios,Daedalic Entertainment,4,"Action,Adventure,General,Point-and-Click"
3153,Mage's Initiation: Reign of the Elements,"January 30, 2019",PC,70,7.9,"D'arc is a sixteen-year-old Mage to be. A sinister plot threatens his initiation and risks plunging the land of Iginor into conflict and chaos. Choose from four classes and train in the Elemental arts. Master a unique range of spells to solve puzzles, battle monsters, and confront the ultimate evil.",8,Himalaya Studios,Himalaya Studios,1,"Adventure,General"
3154,ATOM RPG: Post-apocalyptic indie game,"December 19, 2018",PC,70,8.1,"ATOM RPG is a post-apocalyptic indie game, inspired by classic CRPGs: Fallout, Wasteland, Deus Ex, Baldur's Gate and many others.",8,AtomTeam,AtomTeam,5,"Role-Playing,Western-Style"
3155,High Heat Major League Baseball 2004,"March 4, 2003",PC,70,tbd,"New features for this year include a brand-new graphics engine, all-new motion-captured player animations, and Franchise Mode containing comprehensive player contracts, financial and free agent systems and realistic player management features. They've even tripled the number of pitch types from detailed scouting reports and input from Curt Schilling, himself! [3DO]",10,3DO,3DO,2,"Sports,Traditional,Team,Baseball,Sim,Sim"
3156,Thrillville: Off the Rails,"October 9, 2007",PC,70,3.6,"Off the Rails lives up to its name with 20 death-defying rides so outrageous, they inspire the same word from every park visitor who sees them: ""WHOA!"" Players build these incredible ""WHOA Coasters"" to leap from one track to another, launch through the air like cannonballs, blast through a burning rings of fire and more. A new lighthearted story ties together more than 100 missions, complete with 34 playable multiplayer theme-park games and social interaction with park guests that's better than ever. The in-depth conversations both advance the plot and suggest better ways to manage the park. But is every guest to be trusted? [LucasArts]",8,Frontier Developments,LucasArts,3,"Strategy,General,General"
3157,Cities in Motion,"February 22, 2011",PC,70,7.6,"Featuring an in-depth campaign mode made up of 12 scenarios along with an open ended sandbox mode, an advanced map editor that allows players to create their own cities, plus much more, Cities in Motion will challenge players to create the perfect public transport system that has no cancellations, no delays and where the passengers are always happy!",20,Colossal Order,Paradox Interactive,1,"Simulation,Miscellaneous,General,General,Compilation"
3158,Leviathan: Warships,"April 28, 2013",PC,70,6.5,"Leviathan: Warships is a strategic action game where players can build and customize their own fleet of warships to play with or against their friends. Play together in the co-op campaign missions against the growing Marauder threat or fight through special Challenge Missions with your friends. If you rather want to test your admiral capabilities, you can fight against your friends or foes in multiplayer skirmishes across 14 different maps. The fleet editor features multiple ship and weapon types which can be combined in almost any possible way, allowing players to try out a vast amount of strategic possibilities.",11,Pieces Interactive,Paradox Interactive,2,"Strategy,General,General"
3159,Tech Support: Error Unknown,"February 27, 2019",PC,70,5.8,"Things are not what they seem at your new tech support specialist job. While resolving customer issues, you soon find yourself in the middle of a conspiracy. Will you side with your employer, join a rogue hacktivist group bent on destroying them, assist the police or stand alone?",11,Dragon Slumber,Dragon Slumber,1,"Simulation,Adventure,General"
3160,Human: Fall Flat,"July 22, 2016",PC,70,7.5,"Human:Fall Flat is a quirky, open-ended physics-based puzzle and exploration game set in floating dreamscapes. Your goal is to escape these surreal dreams by solving puzzles with nothing but your wits and physics.",21,No Brakes Games,Curve Digital,8,"Action Adventure,General"
3161,Brink,"May 9, 2011",PC,70,6.0,"Brink is an immersive shooter that blends single-player, co-op, and multiplayer gameplay into one seamless experience, allowing you to develop your character across all modes of play. You decide the role you want to assume in the world of Brink as you fight to save yourself and mankind’s last refuge for humanity. Brink offers a compelling mix of dynamic battlefields, extensive customization options, and an innovative control system that will keep you coming back for more. A man-made floating city called the Ark, made up of hundreds of separate floating islands, is on the brink of all-out civil war. Originally built as an experimental self-sufficient and 100% ""green"" habitat, the reported rapid rise of the Earth's oceans has forced the Ark to become a refuge for humanity.  Crammed with the original Ark founders, their descendants, as well as tens of thousands of refugees, the Ark exists in total isolation from the rest of the world. With 25 years of social unrest, the inhabitants of the Ark have reached their breaking point. It's up to you to decide the future of the Ark and the human race. Blurring the Lines Between Offline and Online - Advance your character’s development across every gameplay mode: single player, co-op, and multiplayer. Gain experience points that you can spend on customizing and upgrading your skills and abilities, designing an entirely unique look and feel for your character. Brink uses the familiar shooter controls that you're used to, without frustrating, artificial constraints and takes advantage of a new feature: the SMART button.  When you press the SMART button, the game dynamically evaluates where you’re trying to get to, and makes it happen. No need to perfectly time a jump or vault, the game knows what you want to do. Objectives, communications, mission generation, and inventory selection are all dynamically generated based on your role, your status, your location, your squad-mates, and the status of the battle in all gameplay modes.  You'll always know exactly where to go, what to do when you get there, and what your reward will be for success. Brink’s proprietary technology, Virtual Texturing, breaks new ground on current-gen consoles and PCs with an even greater focus on highly detailed characters, realistic environments, lighting, effects, and atmospherics. This competitive lead on the squad-combat genre helps thrust players into the gritty reality of the Ark's epic secluded arcology. [Bethesda Softworks]",38,Splash Damage,Bethesda Softworks,3,"Action,Shooter,Shooter,First-Person,Sci-Fi,Sci-Fi,Arcade"
3162,Minecraft Dungeons,"May 26, 2020",PC,70,6.5,"What exactly is Minecraft: Dungeons? It's an all-new action-adventure game inspired by classic dungeon crawlers, where you'll constantly discover new weapons and items that will help you defeat a ruthless swarm of new-and-nasty mobs. You'll fight or flee through canyons, swamps and of course mines. You can brave the dungeons alone, or team up with friends. Up to four players can battle together through action-packed, treasure-stuffed, wildly varied levels, all in an epic quest to save the villagers and take down the evil Arch-Illager.",52,Mojang AB,Mojang AB,5,"Action Adventure,Open-World,Role-Playing,Action RPG"
3163,Overclocked: A History of Violence,"April 7, 2008",PC,70,6.4,"The classic point & click adventure game breaks new ground in order to tell a story revolving around psychiatrist David McNamara and five young patients. These patients are found barely clothed, the apparent victim of a traumatic act of violence, in the rain-drenched streets of New York City. McNamara is called to help as an expert psychiatrist. At the Staten Island Forensic Hospital he is tasked with treating the young patients – who all suffer from severe amnesia. Dave begins to carefully probe their memory, trying to reveal their obscured past. The story-telling approach of Overclocked sees the player take on the role of the patients as they are questioned, playing and exploring their memories one by one. In reverse chronology, the player makes his way through the shards of their past and experiences frightening events that seem incoherent at first. The insights gained can then used back in the role of Dave McNamara to piece together the interconnections between the victims and open up new lines of questioning. [Anaconda]",19,House of Tales,Lighthouse Interactive,1,"Adventure,General,General,3D,Third-Person"
3164,Saints Row: The Third Remastered,"May 22, 2020",PC,70,6.4,"Experience The Full Package, Remastered. Steelport, the original city of sin, has never looked so good as it drowns in sex, drugs and guns. The Third Street Saints are at the height of power and yours to control. This is your city. These are your rules.",13,Sperasoft,Deep Silver,6,"Action Adventure,Open-World"
3165,Need for Speed: ProStreet,"November 13, 2007",PC,70,6.5,"Need for Speed ProStreet accelerates street racing culture by providing the ultimate stage for the pursuit of street racing supremacy. It is a game about building the ultimate performance-tuned battle machine, taking it to multi-disciplinary showdowns all over the world and pitting your skills and reputation against the very best street racers. Need for Speed ProStreet boasts impeccable precision and impressively detailed photo-realistic graphics, effectively transporting you to the center of the action. It pushes the Autosculpt technology to a new level, allowing you to directly impact your car's performance for the first time as well as personalize its appearance. Need for Speed ProStreet is a true taste of raw adrenaline and racing with consequences. Every dent, every scratch and every crumpled body panel is a battle scar, proof of your commitment and competitive mettle. With an aggressive and skilled AI system, you become immersed in an unmatched believable race experience. Add in a revolutionary online mode that will redefine the meaning of competitive social play, and Need for Speed ProStreet is the ultimate formula for an emotionally charged street racing showdown. [Electronic Arts]",18,EA Games,EA Games,3,"Driving,Racing,Simulation,GT / Street,GT / Street,Automobile"
3166,The Collider 2,"April 19, 2016",PC,70,tbd,"Destroy the colossal mothership looming over the planet and save your homeworld. With a fleet of high-tech starfighters at your disposal, take on a series of suicidal missions to destroy the alien invader from the inside.",17,Shortbreak Studios,Shortbreak Studios,1,"Action,Arcade"
3167,World War Z,"April 16, 2019",PC,70,5.9,"World War Z is a thrilling four-player cooperative third-person shooter featuring massive swarms of zombies that recklessly rush their living prey. Focused on fast-paced gameplay -- and based on the incredibly popular Paramount Pictures property of the same name -- World War Z explores new storylines and characters from around the world in tense, overwhelming, gruesomely exciting missions crafted specifically for modern consoles and PC.

The swarm feels neither fear nor mercy. It rolls forward to spread and consume. Together, make your stand and unload an arsenal of deadly weaponry into these hundreds of swarming zombies. Feel the satisfying rush of life as you cheat death and prevail against such overwhelming odds. Cut the undead down with rocket launchers, machine guns, sentries, turrets, grenade launchers, barbed wire, and more.",25,Saber Interactive,Saber Interactive,4,"Action,Shooter,First-Person,Third-Person,Tactical"
3168,Gods Will Fall,"January 29, 2021",PC,70,4.4,"The gods’ rule over humanity has lasted for millennia. They demand to be worshipped and to those who don't submit to the gods’ will; merciless death awaits. Experience the trials of 8 Celtic warriors in their plight to sever the gods’ grip on humanity. Every man and woman who can muster a blade will form your clan and take on legions of beasts in each of the gods’ realms. Succeed and see legends born. Fail, and lives turn to dust.",14,Clever Beans,Deep Silver,5,"Action Adventure,General"
3169,Yonder: The Cloud Catcher Chronicles,"July 17, 2017",PC,70,6.6,"Yonder shipwrecks players on the vast island of Gemea, a land enshrouded in an evil murk.  By exploring the land, joining forces with the locals and contributing to their community through optional talents like farming, crafting, cooking, fishing and brewing, adventurers can help the island flourish.",15,Prideful Sloth,Prideful Sloth,6,"Action Adventure,Open-World"
3170,The Sims 3: Generations,"May 31, 2011",PC,70,3.8,The Generations expansion pack will add new gameplay for sims of different ages to The Sims 3.,22,The Sims Studio,EA Games,1,"Simulation,Miscellaneous,Virtual Life,Virtual,Virtual Life"
